ENTRY	GENE NAME	PROTEIN NAME	LOCATION
Q0KA06	H16_A2065	Aminotransferase, class I and II (EC 2.6.1.-)	Cytoplasm
Q0K412	aroQ2 aroQ H16_B0465	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Cytoplasm
Q0K759	H16_A3087	Anthranilate/para-aminobenzoate synthase component I	Cytoplasm
Q0K5R1	pyk2 H16_A3602	Pyruvate kinase (EC 2.7.1.40)	Cytoplasm
Q0K6X5	accB H16_A3171	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	Cytoplasm
Q0K7K2	mrp H16_A2943	Iron-sulfur cluster carrier protein	Cytoplasm
Q0KBG0	H16_A1529	Phenylacetic acid degradation protein PaaI (EC 3.1.2.23)	Cytoplasm
Q0K5N0	H16_A3634	Esterase/lipase (EC 3.1.1.-)	Cytoplasm
Q0K1B7	tdo2 H16_B1418	Tryptophan 2,3-dioxygenase (EC 1.13.11.11)	Cytoplasm
Q0K0S6	H16_B1613	MoxR-like ATPase (EC 3.6.1.-)	Cytoplasm
Q0K9P5	H16_A2179	Lactoylglutathione lyase (EC 4.4.1.5)	Cytoplasm
Q0JZY7	H16_B1905	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0KFB8	metH H16_A0151	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)	Cytoplasm
Q0KBH0	H16_A1519	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K9J7	iclB H16_A2227	Isocitrate lyase (EC 4.1.3.1)	Cytoplasm
Q0K2V6	H16_B0876	3-Hydroxybenzoate 6-hydroxylase (EC 1.14.13.24)	Cytoplasm
Q0KDD3	dadA3 H16_A0841	D-amino-acid dehydrogenase (EC 1.4.99.1)	Cytoplasm
Q0KEV4	zwf1 zwf H16_A0316	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	Cytoplasm
Q0K1D6	ipdC H16_B1399	Indole-3-pyruvate decarboxylase (EC 4.1.1.74)	Cytoplasm
Q0KEZ7	mmsA1 H16_A0273	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)	Cytoplasm
Q0K9E4	H16_A2280	Glutaminase-asparaginase (Amidohydrolase) (EC 3.5.1.38)	Cytoplasm
Q0JY98	hmgL2 H16_B2494	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	Cytoplasm
Q0K493	H16_B0382	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0K4Y7	H16_B0131	Probable 5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41) (5-keto-4-deoxy-glucarate dehydratase) (KDGDH)	Cytoplasm
Q0K3S7	H16_B0550	Tautomerase (EC 5.3.2.-)	Cytoplasm
Q0K428	H16_B0449	Leucine dehydrogenase (EC 1.4.1.9)	Cytoplasm
Q0K496	H16_B0379	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K8X4	abmD H16_A2458	Putative acyl-CoA dehydrogenase (EC 1.3.99.-)	Cytoplasm
Q0KC25	hutG3 H16_A1306	N-Formylglutamate amidohydrolase (EC 3.5.1.68)	Cytoplasm
Q0K6H2	H16_A3330	Alcohol dehydrogenase (EC 1.1.1.1)	Cytoplasm
Q0K7E0	H16_A3005	Putative aylformamidase (EC 3.5.1.9)	Cytoplasm
Q0K3G4	H16_B0663	Short chain alcohol dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0KAB4	H16_A1956	Carbon-nitrogen hydrolase (EC 3.5.-.-)	Cytoplasm
Q0K7F1	cysG H16_A2994	Uroporphyrin-III C-methyltransferase (EC 2.1.1.107)	Cytoplasm
Q0KDK7	pgpB H16_A0767	Putative membrane-associated phospholipid phosphatase, PAP2 superfamily (EC 3.1.3.2)	Cytoplasm
Q0K2E9	H16_B1034	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	Cytoplasm
Q0K3C1	H16_B0706	Acyl dehydratase (EC 4.2.1.-)	Cytoplasm
Q0KC34	H16_A1297	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K3D1	H16_B0696	Acyl-CoA synthetase (AMP-forming) (EC 6.2.1.1)	Cytoplasm
Q0JYE0	H16_B2452	Acetolactate synthase large subunit (EC 2.2.1.6)	Cytoplasm
Q0K7N2	pyrB H16_A2913	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	Cytoplasm
Q0KCD3	H16_A1197	Acyl-CoA synthetase (EC 6.2.1.-)	Cytoplasm
Q0KD53	H16_A0922	2-Polyprenyl-6-methoxyphenol hydroxylase or related FAD-dependent oxidoreductase (EC 1.14.13.-)	Cytoplasm
Q0JZ09	bkdA1 pdhA H16_B2233	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)	Cytoplasm
Q0JZH3	H16_B2069	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylas (EC 3.5.1.-)	Cytoplasm
Q0K584	wecC H16_B0034	UDP-N-Acetyl-D-mannosamine 6-dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q59106	odhA H16_A2325	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	Cytoplasm
Q0K1P2	phnT H16_B1292	Acetyltransferase (GNAT) family (EC 2.3.1.-)	Cytoplasm
Q0KDF8	H16_A0816	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KAX7	H16_A1720	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0KDA6	H16_A0868	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K1W1	ribB H16_B1223	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	Cytoplasm
Q0K486	H16_B0389	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0JYX4	narI2 H16_B2268	Respiratory nitrate reductase gamma chain (NarI) (EC 1.7.99.4)	Cytoplasm
Q0KDJ0	ggt2a H16_A0784	Gamma-glutamyltransferase 2 (EC 2.3.2.2)	Cytoplasm
Q0KBL7	H16_A1469	Amidase (EC 3.5.1.-)	Cytoplasm
Q0K376	H16_B0751	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K9J3	H16_A2231	Acetolactate synthase large subunit (EC 2.2.1.6)	Cytoplasm
Q0K7T7	H16_A2857	Aminotransferase (EC 2.6.1.-)	Cytoplasm
Q0KAG1	prpD1 H16_A1909	2-Methylcitrate dehydratase (EC 4.2.1.79)	Cytoplasm
Q0KEA6	trpS H16_A0515	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	Cytoplasm
Q0K0F1	H16_B1741	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0KDM8	H16_A0745	NAD-dependent aldehyde dehydrogenase (EC 1.2.1.3)	Cytoplasm
Q0K161	H16_B1475	Dienelactone hydrolase family protein (EC 3.1.1.-)	Cytoplasm
Q0K836	H16_A2756	ABC-type transporter, ATPase component: PAAT family (EC 3.6.3.21)	Cytoplasm
Q0K8R2	dat H16_A2521	Aminotransferase class IV (Putative D-alanine transaminase) (EC 2.6.1.21)	Cytoplasm
Q0K4U9	H16_B0174	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K056	H16_B1836	Putative dioxygenase, 2OG-Fe(II) oxygenase superfamily (EC 1.13.11.-)	Cytoplasm
Q0K491	H16_B0384	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K158	H16_B1478	ABC-type methionine transporter (EC 7.4.2.11)	Cytoplasm
Q0KA90	H16_A1980	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	Cytoplasm
Q0K3T8	poxA H16_B0539	Phenol hydroxylase P0 protein (EC 1.14.13.7)	Cytoplasm
Q0K4T0	H16_B0193	Transcriptional regulator, PspF-family (EC 3.6.1.-)	Cytoplasm
Q0K473	H16_B0402	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0K7U0	ribBA ribB H16_A2854	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	Cytoplasm
Q0JY58	H16_B2534	3-Hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	Cytoplasm
Q0K163	H16_B1473	Metal-dependent amidase/aminoacylase/carboxypeptidase (EC 3.5.-.-)	Cytoplasm
Q0KCM8	paaH2 H16_A1102	3-Hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Cytoplasm
Q0K4S5	pcaI H16_B0198	3-Oxoadipate CoA-transferase subunit A (EC 2.8.3.6)	Cytoplasm
Q0K3K1	cysN2 cysC cysN H16_B0626	Multifunctional fusion protein [Includes: Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)]	Cytoplasm
Q0JYV7	nirE H16_B2285	Uroporphyrin-III C-methyltransferase (EC 2.1.1.107)	Cytoplasm
Q0KB09	H16_A1683	Predicted acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K941	hmgL1 H16_A2385	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	Cytoplasm
Q0K874	pct H16_A2718	Acetate CoA-transferase YdiF (EC 2.8.3.8)	Cytoplasm
Q0K3N2	bpHI H16_B0595	4-hydroxy-2-oxovalerate aldolase 3 (HOA 3) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase 3) (4-hydroxy-2-oxopentanoate aldolase 3)	Cytoplasm
Q0K235	H16_B1148	Acyl-CoA synthetase (EC 6.2.1.-)	Cytoplasm
Q0K4J5	fbaB H16_B0278	Fructose-bisphosphate aldolase class-I (EC 4.1.2.13)	Cytoplasm
Q0K0M3	H16_B1666	Chitooligosaccharide deacetylase (EC 3.5.1.-)	Cytoplasm
Q0K7I4	cbiP cobQ H16_A2961	Cobyric acid synthase	Cytoplasm
Q0KA99	H16_A1971	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K6X9	murC1 mpl H16_A3167	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase (EC 6.3.2.45) (Murein peptide ligase) (UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase)	Cytoplasm
Q0KDB3	H16_A0861	Alcohol dehydrogenase, class IV (EC 1.1.1.-)	Cytoplasm
Q59100	cbbAC cbbA2 H16_B1384	Fructose-bisphosphate aldolase, chromosomal (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	Cytoplasm
Q0K9T6	H16_A2138	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0KC67	pntAa2 H16_A1264	NAD(P) transhydrogenase subunit alpha 1 (EC 1.6.1.2)	Cytoplasm
Q0KC00	H16_A1331	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	Cytoplasm
Q0KEU8	gshA H16_A0322	Gamma-glutamate-cysteine ligase (EC 6.3.2.2)	Cytoplasm
Q0K3F2	H16_B0675	Acyl-CoA dehydrogenase,short-chain specific (EC 1.3.99.-)	Cytoplasm
Q0K7D3	hutG1 H16_A3013	N-Formylglutamate amidohydrolase (EC 3.5.1.68)	Cytoplasm
Q0K0I8	fdwB H16_B1701	Tungsten-containing formate dehydrogenase beta subunit (EC 1.2.1.2)	Cytoplasm
Q0K815	katG H16_A2777	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	Cytoplasm
Q0K2U8	mhpD3 H16_B0884	2-Oxopent-4-enoate hydratase (EC 4.2.1.80)	Cytoplasm
Q0K197	H16_B1439	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K6I2	trpG H16_A3320	Anthranilate synthase component II (EC 4.1.3.27)	Cytoplasm
Q0K7M5	hemC H16_A2920	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	Cytoplasm
Q0K073	serA6 H16_B1819	D-3-Phosphoglycerate dehydrogenase (EC 1.1.1.95)	Cytoplasm
Q0K876	gltX2 gluQ H16_A2716	Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-)	Cytoplasm
Q0KBC7	ltnD H16_A1562	L-threonate dehydrogenase (EC 1.1.1.411)	Cytoplasm
Q0K670	dgt H16_A3433	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	Cytoplasm
Q0K5P1	H16_A3623	Zn-dependent hydrolase / glyoxylase	Cytoplasm
Q0KFF8	gatA H16_A0111	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	Cytoplasm
Q0K1H0	acdS H16_B1365	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	Cytoplasm
Q0K2H9	H16_B1004	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	Cytoplasm
Q0KE74	sucD H16_A0548	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	Cytoplasm
Q0K1S0	H16_B1264	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K7G6	H16_A2979	Enoyl-CoA hydratase/isomerase (EC 4.2.1.17)	Cytoplasm
Q0K7N6	H16_A2909	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	Cytoplasm
Q0KF20	H16_A0249	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	Cytoplasm
Q0K2S2	H16_B0910	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K715	pntB3 H16_A3131	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta)	Cytoplasm
Q0KDS4	H16_A0699	Acyltransferase family protein (EC 2.3.1.-)	Cytoplasm
Q0KA43	guaA H16_A2028	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	Cytoplasm
Q0K3A5	H16_B0722	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K2C0	H16_B1063	Predicted acid phosphatase (EC 3.1.3.-)	Cytoplasm
Q0K231	H16_B1152	Mannose-6-phosphate isomerase (EC 5.3.1.8)	Cytoplasm
Q0KCM1	hutG2 H16_A1109	N-Formylglutamate amidohydrolase (EC 3.5.1.68)	Cytoplasm
P40852	cbbZC cbbZ2 H16_B1387	Phosphoglycolate phosphatase, chromosomal (PGP) (PGPase) (EC 3.1.3.18)	Cytoplasm
Q0K6Z2	thiL H16_A3154	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	Cytoplasm
Q0K211	H16_B1172	Amidase (EC 3.5.1.-)	Cytoplasm
Q0K8F7	sdhC H16_A2632	Succinate dehydrogenase (Cytochrome b subunit) (EC 1.3.99.1)	Cytoplasm
Q0KC65	pntB2 H16_A1266	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta)	Cytoplasm
Q0KEP7	ispE H16_A0374	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	Cytoplasm
Q0KAG6	prpR H16_A1904	Propionate catabolism activator (EC 3.6.1.-)	Cytoplasm
Q0KF10	folB H16_A0259	Dihydroneopterin aldolase (EC 4.1.2.25)	Cytoplasm
Q0KBX7	gudB H16_A1356	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	Cytoplasm
Q0KEE2	pyrC H16_A0479	Dihydroorotase (DHOase) (EC 3.5.2.3)	Cytoplasm
Q0KCH9	tyrB1 H16_A1151	Aminotransferase (EC 2.6.1.-)	Cytoplasm
Q0K1A0	prpD3 H16_B1436	2-Methylcitrate dehydratase (EC 4.2.1.79)	Cytoplasm
Q0K6Y9	pyrF H16_A3157	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	Cytoplasm
Q0K165	fdhA2 H16_B1471	Formate dehydrogenase alpha chain (EC 1.2.1.2)	Cytoplasm
Q0K0D4	alpH H16_B1758	Allophanate hydrolase (EC 3.5.1.54)	Cytoplasm
Q0JZB9	H16_B2123	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	Cytoplasm
Q0KCX7	maeB H16_A1002	Malic enzyme (NADP) (EC 1.1.1.40)	Cytoplasm
Q0K3S9	mhpD1 H16_B0548	2-Oxopent-4-enoate hydratase (EC 4.2.1.80)	Cytoplasm
Q0K3E6	prpD2 H16_B0681	2-Methylcitrate dehydratase (EC 4.2.1.79)	Cytoplasm
Q0KAQ9	H16_A1807	4-hydroxy-2-oxovalerate aldolase 1 (HOA 1) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase 1) (4-hydroxy-2-oxopentanoate aldolase 1)	Cytoplasm
Q0KC41	H16_A1290	Acetyl-CoA C-acyltransferase (EC 2.3.1.16)	Cytoplasm
Q0K0L9	fahA H16_B1670	Fumarylacetoacetase hydrolase (EC 3.7.1.2)	Cytoplasm
Q0KDB8	lao2 H16_A0856	L-Amino-acid oxidase (EC 1.4.3.2)	Cytoplasm
Q0K0C3	apbA3 H16_B1769	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	Cytoplasm
Q0JYF4	H16_B2438	Predicted acyl-CoA transferase/carnitine dehydratase (EC 5.1.99.-)	Cytoplasm
Q0KE75	sucC H16_A0547	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	Cytoplasm
Q0K3T4	poxE H16_B0543	Phenol hydroxylase P4 protein (EC 1.14.13.7)	Cytoplasm
Q9X6U2	hbdH1 H16_A1334	D-beta-hydroxybutyrate dehydrogenase (BDH) (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (3-HBDH)	Cytoplasm
Q0KDC4	pntAa1 H16_A0850	NAD(P) transhydrogenase subunit alpha 1 (EC 1.6.1.2)	Cytoplasm
Q0K7H9	cobC H16_A2966	Alpha-ribazole phosphatase (CobC) (EC 3.1.3.73)	Cytoplasm
Q0KBE0	leuC2 H16_A1549	3-Isopropylmalate dehydratase large subunit (EC 4.2.1.33)	Cytoplasm
Q0K6Q4	hprT H16_A3242	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	Cytoplasm
Q0K7B5	ispH H16_A3031	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	Cytoplasm
Q0K853	H16_A2739	Dienelactone hydrolase or related enzyme (EC 3.1.1.-)	Cytoplasm
Q0KFJ6	H16_A0073	Putative peptidase, M20D subfamily (EC 3.4.17.-)	Cytoplasm
Q0KF32	thiS H16_A0237	Thiamine biosynthesis sulfur transfer protein	Cytoplasm
Q0KBD5	H16_A1554	Esterase/lipase (EC 3.1.1.-)	Cytoplasm
Q0K8Q6	fumA H16_A2528	Fumarate hydratase class I (EC 4.2.1.2)	Cytoplasm
Q0K3H1	H16_B0656	Acyl CoA:acetate/3-ketoacid CoA transferase,beta subunit (EC 2.8.3.-)	Cytoplasm
Q0K8X6	H16_A2456	Predicted thioesterase (EC 3.1.2.-)	Cytoplasm
Q0KEN0	gutQ H16_A0391	Predicted sugar phosphate isomerase involved in capsule formation (EC 5.3.1.-)	Cytoplasm
Q0K5R2	ttuD1 H16_A3601	Hydroxypyruvate reductase (EC 1.1.1.81)	Cytoplasm
Q0K4A9	H16_B0365	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0KEC0	purH H16_A0501	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	Cytoplasm
Q0K293	H16_B1090	Patatin-like phospholipase (EC 3.1.1.-)	Cytoplasm
Q0K3U3	plcN2 H16_B0534	Phospholipase C (EC 3.1.4.3)	Cytoplasm
Q0JZB6	H16_B2126	Amidase (EC 3.5.1.-)	Cytoplasm
Q0K6R1	nrdA H16_A3235	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	Cytoplasm
Q0K3U1	catB4 H16_B0536	Muconate cyclo-isomerase (EC 5.5.1.1)	Cytoplasm
Q0JYV2	pcaG H16_B2290	Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3)	Cytoplasm
Q0JYJ4	H16_B2398	Predicted phosphatase (EC 3.1.3.-)	Cytoplasm
Q0K2P1	H16_B0942	Malate/L-lactate dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0K6J8	hipO H16_A3299	Putative peptidase, M20D subfamily (EC 3.4.17.-)	Cytoplasm
Q0KA02	dapE H16_A2069	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	Cytoplasm
Q0KFK4	H16_A0065	Glutathione peroxidase	Cytoplasm
Q0KF41	H16_A0228	Lauroyl/myristoyl acyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K1G8	H16_B1367	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K155	H16_B1481	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KD62	nadD H16_A0913	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	Cytoplasm
Q0K3N6	H16_B0591	Acetyl-CoA synthetase (EC 6.2.1.1)	Cytoplasm
Q0KAL7	rfbB2 H16_A1851	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	Cytoplasm
Q0K6I5	rpe H16_A3317	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	Cytoplasm
Q0K6G5	pfs H16_A3337	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	Cytoplasm
Q0KCM9	H16_A1101	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K1Z1	H16_B1192	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K2H4	H16_B1009	Probable bifunctional P-450:NADPH-P450 reductase (EC 1.6.2.4)	Cytoplasm
Q0K868	plcN1 H16_A2724	Phospholipase C (EC 3.1.4.3)	Cytoplasm
Q0KFM7	H16_A0042	Glutathionylspermidine synthase (EC 6.3.1.8)	Cytoplasm
Q0KAM0	rfbC H16_A1848	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)	Cytoplasm
Q0K7N7	H16_A2908	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	Cytoplasm
Q0KAI1	H16_A1889	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K7N4	plsC2 H16_A2911	1-Acylglycerol-3-phosphate O-acyltransferase (EC 2.3.1.51)	Cytoplasm
Q0KFA2	ivd1 H16_A0167	Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)	Cytoplasm
Q0KFG1	gatB H16_A0108	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	Cytoplasm
Q0JYD7	H16_B2455	Ureidoglycolate lyase (EC 4.3.2.3)	Cytoplasm
Q0KFE5	H16_A0124	Allophanate hydrolase subunit 1 (EC 3.5.1.54)	Cytoplasm
Q0KDI8	gph H16_A0786	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	Cytoplasm
Q0KDU9	H16_A0674	Adenylate cyclase, class 2 (EC 4.6.1.1)	Cytoplasm
Q0K0J0	H16_B1699	Zinc-type alcohol dehydrogenase-like protein	Cytoplasm
Q0K0X5	glgP H16_B1562	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)	Cytoplasm
Q0KCR1	H16_A1069	Acyl dehydratase (EC 4.2.1.-)	Cytoplasm
P27747	acoC H16_B0146	Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system (EC 2.3.1.12) (Acetoin dehydrogenase E2 component) (Dihydrolipoamide acetyltransferase component of acetoin cleaving system) (Fast-migrating protein) (FMP)	Cytoplasm
